,书名,豆瓣链接,封面URL,作者,译者,出版社,出版日期,价格,评分,评分人数,一句话评价
0,红楼梦,https://book.douban.com/subject/1007305/,https://img1.doubanio.com/view/subject/s/public/s1070959.jpg,[清] 曹雪芹 著 ,, 人民文学出版社 , 1996-12 , 59.70元,9.6,436004,都云作者痴，谁解其中味？
1,活着,https://book.douban.com/subject/4913064/,https://img9.doubanio.com/view/subject/s/public/s29869926.jpg,余华 ,, 作家出版社 , 2012-8 , 28.00元,9.4,861329,生的苦难与伟大
2,1984,https://book.douban.com/subject/4820710/,https://img1.doubanio.com/view/subject/s/public/s4371408.jpg,[英] 乔治·奥威尔 , 刘绍铭 , 北京十月文艺出版社 , 2010-4-1 , 28.00,9.4,294075,栗树荫下，我出卖你，你出卖我
3,哈利·波特,https://book.douban.com/subject/24531956/,https://img9.doubanio.com/view/subject/s/public/s29101586.jpg,J.K.罗琳 (J.K.Rowling) , 苏农 , 人民文学出版社 , 2008-12-1 , 498.00元,9.7,116138,从9¾站台开始的旅程
4,三体全集,https://book.douban.com/subject/6518605/,https://img9.doubanio.com/view/subject/s/public/s28357056.jpg,刘慈欣 ,, 重庆出版社 , 2012-1 , 168.00元,9.5,197385,地球往事三部曲
5,百年孤独,https://book.douban.com/subject/6082808/,https://img1.doubanio.com/view/subject/s/public/s27237850.jpg,[哥伦比亚] 加西亚·马尔克斯 , 范晔 , 南海出版公司 , 2011-6 , 39.50元,9.3,440022,魔幻现实主义文学代表作
6,飘,https://book.douban.com/subject/1068920/,https://img1.doubanio.com/view/subject/s/public/s1078958.jpg,[美国] 玛格丽特·米切尔 , 李美华 , 译林出版社 , 2000-9 , 40.00元,9.3,217367,革命时期的爱情，随风而逝
7,房思琪的初恋乐园,https://book.douban.com/subject/27614904/,https://img2.doubanio.com/view/subject/s/public/s29651121.jpg,林奕含 ,, 北京联合出版公司 , 2018-2 , 45.00元,9.2,393514,向死而生的文学绝唱
8,动物农场,https://book.douban.com/subject/2035179/,https://img1.doubanio.com/view/subject/s/public/s2347590.jpg,[英] 乔治·奥威尔 , 荣如德 , 上海译文出版社 , 2007-3 , 10.00元,9.3,166631,太阳底下并无新事
9,三国演义（全二册）,https://book.douban.com/subject/1019568/,https://img3.doubanio.com/view/subject/s/public/s1076932.jpg,[明] 罗贯中 ,, 人民文学出版社 , 1998-05 , 39.50元,9.3,173160,是非成败转头空
10,福尔摩斯探案全集（上中下）,https://book.douban.com/subject/1040211/,https://img1.doubanio.com/view/subject/s/public/s1229240.jpg,[英] 阿·柯南道尔 , 丁钟华 等 , 群众出版社 , 1981-8 , 53.00元/68.00元,9.3,137144,名侦探的代名词
11,白夜行,https://book.douban.com/subject/10554308/,https://img1.doubanio.com/view/subject/s/public/s24514468.jpg,[日] 东野圭吾 , 刘姿君 , 南海出版公司 , 2013-1-1 , 39.50元,9.2,492778,一宗离奇命案牵出跨度近20年步步惊心的故事
12,小王子,https://book.douban.com/subject/1084336/,https://img1.doubanio.com/view/subject/s/public/s1237549.jpg,[法] 圣埃克苏佩里 , 马振骋 , 人民文学出版社 , 2003-8 , 22.00元,9.1,770112,献给长成了大人的孩子们
13,安徒生童话故事集,https://book.douban.com/subject/1046209/,https://img3.doubanio.com/view/subject/s/public/s1034062.jpg,（丹麦）安徒生 , 叶君健 , 人民文学出版社 , 1997-08 , 25.00元,9.3,136583,为了争取未来的一代
14,呐喊,https://book.douban.com/subject/1449351/,https://img9.doubanio.com/view/subject/s/public/s34099286.jpg,鲁迅 ,, 人民文学出版社 , 1973-3 , 0.36元,9.2,166090,新文学的第一声呐喊
15,撒哈拉的故事,https://book.douban.com/subject/1060068/,https://img3.doubanio.com/view/subject/s/public/s1369343.jpg,三毛 ,, 哈尔滨出版社 , 2003-8 , 15.80元,9.2,182480,游荡的自由灵魂
16,天龙八部,https://book.douban.com/subject/1255625/,https://img9.doubanio.com/view/subject/s/public/s26018275.jpg,金庸 ,, 生活·读书·新知三联书店 , 1994-5 , 96.00元,9.2,135524,有情皆孽，无人不冤
17,邓小平时代,https://book.douban.com/subject/20424526/,https://img3.doubanio.com/view/subject/s/public/s24516687.jpg,【美】傅高义 (Ezra.F.Vogel) , 冯克利 , 生活·读书·新知三联书店 , 2013-1-18 , 88.00元,9.3,76155,个人命运背后的历史变局
18,悉达多,https://book.douban.com/subject/26980487/,https://img1.doubanio.com/view/subject/s/public/s29396368.jpg,[德] 赫尔曼·黑塞 , 姜乙 , 天津人民出版社 , 2017-1 , 32.00元,9.2,131616,
19,杀死一只知更鸟,https://book.douban.com/subject/6781808/,https://img3.doubanio.com/view/subject/s/public/s23128183.jpg,[美] 哈珀·李 , 高红梅 , 译林出版社 , 2012-9 , 32.00元,9.2,152326,有一种东西不能遵循从众原则，那就是——人的良心
20,失踪的孩子,https://book.douban.com/subject/30172069/,https://img1.doubanio.com/view/subject/s/public/s29799269.jpg,[意] 埃莱娜·费兰特 , 陈英 , 人民文学出版社 , 2018-7 , 62.00元,9.2,87901,我的整个生命，只是一场为了提升社会地位的低俗斗争。
21,明朝那些事儿（1-9）,https://book.douban.com/subject/3674537/,https://img9.doubanio.com/view/subject/s/public/s3745215.jpg,当年明月 ,, 中国海关出版社 , 2009-4 , 358.20元,9.2,183991,不拘一格的历史书写
22,新名字的故事,https://book.douban.com/subject/26986954/,https://img9.doubanio.com/view/subject/s/public/s29376146.jpg,[意] 埃莱娜·费兰特 , 陈英 , 人民文学出版社 , 2017-4 , 59.00元,9.2,98613,探索青年时代的激情、困惑、挣扎、背叛和失去
23,野草,https://book.douban.com/subject/1915958/,https://img2.doubanio.com/view/subject/s/public/s34099301.jpg,鲁迅 ,, 人民文学出版社 , 1973-3 , 0.20元,9.5,50128,我以这一丛野草，在明与暗，生与死，过去与未来之际，献于友与仇，人与兽，爱者与不爱者之前作证。
24,沉默的大多数,https://book.douban.com/subject/1054685/,https://img1.doubanio.com/view/subject/s/public/s1447349.jpg,王小波 ,, 中国青年出版社 , 1997-10 , 27.00元,9.1,155122,沉默是沉默者的通行证
25,中国历代政治得失,https://book.douban.com/subject/1003479/,https://img9.doubanio.com/view/subject/s/public/s1319205.jpg,钱穆 ,, 生活·读书·新知三联书店 , 2001 , 12.00元,9.2,76547,一部简明的“中国政治制度史”
26,局外人,https://book.douban.com/subject/4908885/,https://img9.doubanio.com/view/subject/s/public/s4468484.jpg,[法] 阿尔贝·加缪 , 柳鸣九 , 上海译文出版社 , 2010-8 , 22.00元,9.1,250168,人生在世，永远也不该演戏作假
27,卡拉马佐夫兄弟,https://book.douban.com/subject/25887924/,https://img9.doubanio.com/view/subject/s/public/s34711695.jpg,陀思妥耶夫斯基 (Ф.М.Достоевский) , 荣如德 , 上海译文出版社 , 2015-2-1 , CNY 78.00,9.6,39671,
28,平凡的世界（全三部）,https://book.douban.com/subject/1200840/,https://img2.doubanio.com/view/subject/s/public/s1144911.jpg,路遥 ,, 人民文学出版社 , 2005-1 , 64.00元,9.0,329873,中国当代城乡生活全景
29,白鹿原,https://book.douban.com/subject/10564071/,https://img3.doubanio.com/view/subject/s/public/s34777382.jpg,陈忠实 ,, 人民文学出版社 , 2012-9 , 39.00元,9.2,114158,一轴关于我们民族灵魂的现实主义画卷
30,人类简史,https://book.douban.com/subject/25985021/,https://img3.doubanio.com/view/subject/s/public/s27814883.jpg,[以色列] 尤瓦尔·赫拉利 , 林俊宏 , 中信出版社 , 2014-11 , 68.00元,9.1,204895,跟着人类一同走过十万年
31,罗杰疑案,https://book.douban.com/subject/21371175/,https://img3.doubanio.com/view/subject/s/public/s25814002.jpg,[英] 阿加莎·克里斯蒂 , 常禾 , 新星出版社 , 2013-3 , 28.00元,9.2,81995,
32,我与地坛,https://book.douban.com/subject/1209899/,https://img1.doubanio.com/view/subject/s/public/s1151479.jpg,史铁生 ,, 春风文艺出版社 , 2002-5 , 25.00元,9.2,116167,这是你的罪孽与福祉
33,彷徨,https://book.douban.com/subject/1449348/,https://img3.doubanio.com/view/subject/s/public/s34099293.jpg,鲁迅 ,, 人民文学出版社 , 1973-3 , 0.37元,9.3,68582,路漫漫其修远兮，吾将上下而求索
34,围城,https://book.douban.com/subject/1008145/,https://img3.doubanio.com/view/subject/s/public/s1070222.jpg,钱锺书 ,, 人民文学出版社 , 1991-2 , 19.00,9.0,452329,幽默的语言和对生活深刻的观察
35,许三观卖血记,https://book.douban.com/subject/4760224/,https://img1.doubanio.com/view/subject/s/public/s24575140.jpg,余华 ,, 作家出版社 , 2012-9 , 24.00元,9.2,177130,
36,乡土中国,https://book.douban.com/subject/1795079/,https://img1.doubanio.com/view/subject/s/public/s1762210.jpg,费孝通 ,, 上海人民出版社 , 2006-4 , 38.00,9.2,96160,中国乡土社会传统文化和社会结构理论研究代表作
37,笑傲江湖（全四册）,https://book.douban.com/subject/1002299/,https://img9.doubanio.com/view/subject/s/public/s2157335.jpg,金庸 ,, 生活·读书·新知三联书店 , 1994-5 , 76.80元,9.1,114027,欲练此功，必先自宫
38,献给阿尔吉侬的花束,https://book.douban.com/subject/26362836/,https://img1.doubanio.com/view/subject/s/public/s28050760.jpg,[美] 丹尼尔·凯斯 , 陈澄和 , 广西师范大学出版社 , 2015-4 , 36.00元,9.1,118698,当声称能改造智能的科学实验选中心智障碍主角
39,东方快车谋杀案,https://book.douban.com/subject/1827374/,https://img1.doubanio.com/view/subject/s/public/s1765799.jpg,[英] 阿加莎·克里斯蒂 , 陈尧光 , 人民文学出版社 , 2006-5 , 18.00元,9.1,143961,谋杀诡计惊人，波洛的抉择耐人寻味
40,江城,https://book.douban.com/subject/7060185/,https://img9.doubanio.com/view/subject/s/public/s32271204.jpg,[美] 彼得·海斯勒 , 李雪顺 , 上海译文出版社 , 2012-1 , 36.00元,9.1,66087,外国人眼中的涪陵
41,肖申克的救赎,https://book.douban.com/subject/1829226/,https://img9.doubanio.com/view/subject/s/public/s4007145.jpg,[美] 斯蒂芬·金 , 施寄青 , 人民文学出版社 , 2006-7 , 29.90元,9.1,124351,豆瓣电影Top1原著
42,基督山伯爵,https://book.douban.com/subject/1085860/,https://img9.doubanio.com/view/subject/s/public/s3248016.jpg,[法国] 大仲马 , 周克希 , 上海译文出版社 , 1991-12-1 , 43.90元,9.1,132031,一个报恩复仇的故事，以法国波旁王朝和七月王朝为背景
43,城南旧事,https://book.douban.com/subject/1254588/,https://img1.doubanio.com/view/subject/s/public/s2654869.jpg,林海音 文 ,, 中国青年出版社 , 2003-7 , 16.00元,9.1,162268,长亭外，古道边，芳草碧连天
44,霍乱时期的爱情,https://book.douban.com/subject/10594787/,https://img3.doubanio.com/view/subject/s/public/s11284102.jpg,[哥伦比亚] 加西亚·马尔克斯 , 杨玲 , 南海出版公司 , 2012-9-1 , 39.50元,9.0,294520,义无反顾地直达爱情的核心
45,故事新编,https://book.douban.com/subject/2046909/,https://img3.doubanio.com/view/subject/s/public/s34099297.jpg,鲁迅 ,, 人民文学出版社 , 1973-12-01 , 0.31 元,9.5,46115,拾取古代传说，取一点因由，随意点染
46,朝花夕拾,https://book.douban.com/subject/1449352/,https://img1.doubanio.com/view/subject/s/public/s34099290.jpg,鲁迅 ,, 人民文学出版社 , 1973-4 , 0.25元,9.1,160683,在纷扰中寻出一点闲静
47,万历十五年,https://book.douban.com/subject/1041482/,https://img9.doubanio.com/view/subject/s/public/s1800355.jpg,[美] 黄仁宇 ,, 生活·读书·新知三联书店 , 1997-5 , 18.00元,9.0,207322,见微知著，历史观的颠覆
48,秋园,https://book.douban.com/subject/34998019/,https://img1.doubanio.com/view/subject/s/public/s33640730.jpg,杨本芬 ,, 北京联合出版公司 , 2020-6 , 38.00元,9.0,123306,
49,艺术的故事,https://book.douban.com/subject/3162991/,https://img3.doubanio.com/view/subject/s/public/s3219163.jpg,[英] 贡布里希 (Sir E.H.Gombrich) , 范景中 , 广西美术出版社 , 2008-04 , 280.00,9.5,27364,从最早的洞窟绘画到当今的实验艺术
50,置身事内,https://book.douban.com/subject/35546622/,https://img3.doubanio.com/view/subject/s/public/s33956867.jpg,兰小欢 ,, 上海人民出版社 , 2021-8 , 65.00元,9.1,89242,
51,月亮和六便士,https://book.douban.com/subject/1858513/,https://img1.doubanio.com/view/subject/s/public/s2659208.jpg,[英] 毛姆 , 傅惟慈 , 上海译文出版社 , 2006-8 , 15.00元,9.0,215174,有多少人会经历顿悟，就有更少的人甘愿自我放逐
52,射雕英雄传,https://book.douban.com/subject/1044547/,https://img9.doubanio.com/view/subject/s/public/s2157336.jpg,金庸 ,, 生活·读书·新知三联书店 , 1999-04 , 47.00元,9.1,87822,侠之大者，为国为民
53,厌女,https://book.douban.com/subject/25836270/,https://img3.doubanio.com/view/subject/s/public/s33797467.jpg,上野千鹤子 , 王兰 , 上海三联书店 , 2015-1 , 28.00,9.1,87378,
54,追风筝的人,https://book.douban.com/subject/1770782/,https://img1.doubanio.com/view/subject/s/public/s1727290.jpg,[美] 卡勒德·胡赛尼 , 李继宏 , 上海人民出版社 , 2006-5 , 29.00元,8.9,805706,为你，千千万万遍
55,寻路中国,https://book.douban.com/subject/5414391/,https://img1.doubanio.com/view/subject/s/public/s32271209.jpg,[美] 彼得·海斯勒 , 李雪顺 , 上海译文出版社 , 2011-1 , 33.00元,9.0,58959,《纽约客》驻北京记者驾车漫游中国大陆的经历
56,树上的男爵,https://book.douban.com/subject/6789605/,https://img9.doubanio.com/view/subject/s/public/s8968135.jpg,[意大利]伊塔洛·卡尔维诺 , 吴正仪 , 译林出版社 , 2012-4-1 , 30.00元,9.1,64209,是不是真的只有先与人疏离，才能最终与他们在一起？
57,无人生还,https://book.douban.com/subject/3006581/,https://img1.doubanio.com/view/subject/s/public/s2962510.jpg,[英] 阿加莎・克里斯蒂 , 祁阿红 , 人民文学出版社 , 2008-3 , 19.00,9.0,155853,童谣杀人案
58,刀锋,https://book.douban.com/subject/2035162/,https://img3.doubanio.com/view/subject/s/public/s2347562.jpg,[英]毛姆 , 周煦良 , 上海译文出版社 , 2007-3 , 18.00元,9.0,95517,一把刀的锋刃不容易越过；因此智者说得救之道是困难的
59,西游记（全二册）,https://book.douban.com/subject/1029553/,https://img9.doubanio.com/view/subject/s/public/s1627374.jpg,吴承恩 , 黄肃秋 注释 , 人民文学出版社 , 2004-8 , 47.20元,9.1,93569,神魔皆有人情，精魅亦通世故
60,格林童话全集,https://book.douban.com/subject/1043008/,https://img2.doubanio.com/view/subject/s/public/s1134341.jpg,[德]格林兄弟 , 魏以新 , 人民文学出版社 , 1994-11 , 21.45元,9.0,97575,一本有教育意义的书
61,中国少年儿童百科全书（全四册）,https://book.douban.com/subject/1028409/,https://img9.doubanio.com/view/subject/s/public/s34069455.jpg,林崇德 主编 ,, 浙江教育出版社 , 1991-4 , 168.00元,9.4,19608,
62,嫌疑人X的献身,https://book.douban.com/subject/3211779/,https://img9.doubanio.com/view/subject/s/public/s3254244.jpg,[日] 东野圭吾 , 刘子倩 , 南海出版公司 , 2008-9 , 28.00,8.9,533770,数学好是一种极致的浪漫
63,黄金时代,https://book.douban.com/subject/1089243/,https://img3.doubanio.com/view/subject/s/public/s1076372.jpg,王小波 ,, 花城出版社 , 1999-3 , 19.00元,8.9,169832,我想爱，想吃，还想在一瞬间变成天上半明半暗的云
64,太白金星有点烦,https://book.douban.com/subject/36328704/,https://img9.doubanio.com/view/subject/s/public/s34544956.jpg,马伯庸 ,, 湖南文艺出版社 , 2023-6 , 45.00,9.0,112721,
65,鼠疫,https://book.douban.com/subject/24257229/,https://img2.doubanio.com/view/subject/s/public/s27003191.jpg,[法] 阿尔贝·加缪 , 刘方 , 上海译文出版社 , 2013-8 , 34.00元,9.1,84746,用别样的监禁生活再现某种监禁生活，与用不存在的事表现真事同等合理
66,傲慢与偏见,https://book.douban.com/subject/1083428/,https://img3.doubanio.com/view/subject/s/public/s4250062.jpg,[英] 奥斯丁 , 张玲 , 人民文学出版社 , 1993-7 , 13.00元,8.9,236698,所有现代言情小说的母体
67,史记（全十册）,https://book.douban.com/subject/1077847/,https://img9.doubanio.com/view/subject/s/public/s1953384.jpg,司马迁 , （索隐）司马贞，（正义）张守节 , 中华书局 , 1982-11 , 125.00,9.6,25778,史家之绝唱，无韵之离骚
68,可能性的艺术,https://book.douban.com/subject/35819419/,https://img2.doubanio.com/view/subject/s/public/s34192061.jpg,刘瑜 ,, 广西师范大学出版社 , 2022-4 , 82.00元,9.2,44428,
69,悲惨世界（上中下）,https://book.douban.com/subject/1205054/,https://img9.doubanio.com/view/subject/s/public/s4521754.jpg,[法] 雨果 , 李丹 , 人民文学出版社 , 1992-6 , 66.00元,9.1,65020,现实主义与浪漫主义的至高杰作
70,台北人,https://book.douban.com/subject/5337248/,https://img9.doubanio.com/view/subject/s/public/s4526465.jpg,白先勇 ,, 广西师范大学出版社 , 2010-10 , 38.00元,9.0,77247,白先勇短篇小说集
71,诗经,https://book.douban.com/subject/1883245/,https://img1.doubanio.com/view/subject/s/public/s2177629.jpg,孔丘 编订 ,, 北京出版社 , 2006-7 , 19.90元,9.5,29661,思无邪
72,永恒的终结,https://book.douban.com/subject/25829693/,https://img2.doubanio.com/view/subject/s/public/s27409671.jpg,[美] 艾萨克·阿西莫夫 , 崔正男 , 江苏凤凰文艺出版社 , 2014-9 , 32.00元,9.1,50133,关于时间旅行的终极奥秘和恢宏构想
73,始于极限,https://book.douban.com/subject/35966120/,https://img9.doubanio.com/view/subject/s/public/s34300626.jpg,[日] 上野千鹤子 , 曹逸冰 , 新星出版社 , 2022-9-20 , 59,9.0,77524,
74,刘擎西方现代思想讲义,https://book.douban.com/subject/35313227/,https://img2.doubanio.com/view/subject/s/public/s33802981.jpg,刘擎 ,, 新星出版社 , 2021-1 , 79.00元,9.2,39595,
75,孽子,https://book.douban.com/subject/5337254/,https://img1.doubanio.com/view/subject/s/public/s6240330.jpg,白先勇 ,, 广西师范大学出版社 , 2010-10 , 46.00元,9.2,51033,写给那一群， 在最深最深的黑夜里， 独自彷徨街头， 无所依归的孩子们
76,四世同堂,https://book.douban.com/subject/3183775/,https://img1.doubanio.com/view/subject/s/public/s3228699.jpg,老舍 ,, 北京十月文艺出版社 , 2008-07 , 36.00元,9.4,42861,北平沦陷时代广大平民的悲惨遭遇
77,神雕侠侣,https://book.douban.com/subject/1255624/,https://img9.doubanio.com/view/subject/s/public/s26018916.jpg,金庸 , 有1996年11月北平第4次印本 , 生活·读书·新知三联书店 , 1994-5 , 76.80元,8.9,103068,至情至性，情大于武
78,美丽新世界,https://book.douban.com/subject/27002046/,https://img9.doubanio.com/view/subject/s/public/s29477615.jpg,【英】奥尔德斯·赫胥黎 , 陈超 , 上海译文出版社 , 2017-6 , 45.00元,9.2,62384,
79,历史深处的忧虑,https://book.douban.com/subject/1027191/,https://img9.doubanio.com/view/subject/s/public/s1768916.jpg,林达 ,, 生活·读书·新知三联书店 , 1997-5 , 19.00元,9.0,46696,窥见美国社会的一扇窗
80,上帝掷骰子吗,https://book.douban.com/subject/1467022/,https://img9.doubanio.com/view/subject/s/public/s1486674.jpg,曹天元 ,, 辽宁教育出版社 , 2006-1 , 32.00元,9.2,35719,量子物理史话
81,灿烂千阳,https://book.douban.com/subject/2143732/,https://img9.doubanio.com/view/subject/s/public/s2651394.jpg,[美] 卡勒德·胡赛尼 , 李继宏 , 上海人民出版社 , 2007-9 , 28.00元,8.9,125745,唯有希望与爱可以驱散阴霾
